Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-05-03;100,00;100,00;100,00;100,00;0;0
2019-05-02;100,00;100,00;100,00;100,00;0;0
2019-04-30;100,00;100,00;100,00;100,00;0;0
2019-04-29;100,00;100,00;100,00;100,00;0;0
2019-04-26;100,00;100,00;100,00;100,00;0;0
2019-04-25;100,00;100,00;100,00;100,00;0;0
2019-04-24;100,00;100,00;100,00;100,00;0;0
2019-04-23;100,00;100,00;100,00;100,00;0;0
2019-04-18;100,00;100,00;100,00;100,00;0;0
2019-04-17;100,00;100,00;100,00;100,00;0;0
2019-04-16;100,00;100,00;100,00;100,00;0;0
2019-04-15;100,00;100,00;100,00;100,00;0;0
2019-04-12;100,00;100,00;100,00;100,00;0;0
2019-04-11;100,00;100,00;100,00;100,00;0;0
2019-04-10;100,00;100,00;100,00;100,00;0;0
2019-04-09;100,00;100,00;100,00;100,00;0;0
2019-04-08;100,00;100,00;100,00;100,00;0;0
2019-04-05;100,00;100,00;100,00;100,00;0;0
2019-04-04;100,00;100,00;100,00;100,00;0;0
2019-04-03;100,00;100,00;100,00;100,00;0;0
2019-04-02;100,00;100,00;100,00;100,00;0;0
2019-04-01;100,00;100,00;100,00;100,00;0;0
2019-03-29;100,00;100,00;100,00;100,00;0;0
2019-03-28;100,00;100,00;100,00;100,00;0;0
2019-03-27;100,00;100,00;100,00;100,00;0;0
2019-03-26;100,00;100,00;100,00;100,00;0;0
2019-03-25;100,00;100,00;100,00;100,00;0;0
2019-03-22;100,00;100,00;100,00;100,00;0;0
2019-03-21;100,00;100,00;100,00;100,00;0;0
2019-03-20;100,00;100,00;100,00;100,00;0;0
2019-03-19;100,00;100,00;100,00;100,00;0;0
2019-03-18;100,00;100,00;100,00;100,00;0;0
2019-03-15;100,00;100,00;100,00;100,00;0;0
2019-03-14;100,00;100,00;100,00;100,00;0;0
2019-03-13;100,00;100,00;100,00;100,00;0;0
2019-03-12;100,00;100,00;100,00;100,00;0;0
2019-03-11;100,00;100,00;100,00;100,00;0;0
2019-03-08;100,00;100,00;100,00;100,00;0;0
2019-03-07;100,00;100,00;100,00;100,00;0;0
2019-03-06;100,00;100,00;100,00;100,00;0;0
2019-03-05;100,00;100,00;100,00;100,00;0;0
2019-03-04;100,00;100,00;100,00;100,00;0;0
2019-03-01;100,00;100,00;100,00;100,00;0;0
2019-02-28;100,00;100,00;100,00;100,00;0;0
2019-02-27;100,00;100,00;100,00;100,00;0;0
2019-02-26;100,00;100,00;100,00;100,00;0;0
2019-02-25;100,00;100,00;100,00;100,00;0;0
2019-02-22;100,00;100,00;100,00;100,00;0;0
2019-02-21;100,00;100,00;100,00;100,00;0;0
2019-02-20;100,00;100,00;100,00;100,00;0;0
2019-02-19;100,00;100,00;100,00;100,00;0;0
2019-02-18;100,00;100,00;100,00;100,00;0;0
2019-02-15;100,00;100,00;100,00;100,00;0;0
2019-02-14;100,00;100,00;100,00;100,00;0;0
2019-02-13;100,00;100,00;100,00;100,00;0;0
2019-02-12;100,00;100,00;100,00;100,00;0;0
2019-02-11;100,00;100,00;100,00;100,00;0;0
2019-02-08;100,00;100,00;100,00;100,00;0;0
2019-02-07;100,00;100,00;100,00;100,00;0;0
2019-02-06;100,00;100,00;100,00;100,00;0;0
2019-02-05;100,00;100,00;100,00;100,00;0;0
2019-02-04;100,00;100,00;100,00;100,00;0;0
2019-02-01;100,00;100,00;100,00;100,00;0;0
2019-01-31;100,00;100,00;100,00;100,00;0;0
2019-01-30;100,00;100,00;100,00;100,00;0;0
2019-01-29;100,00;100,00;100,00;100,00;0;0
2019-01-28;100,00;100,00;100,00;100,00;0;0
