Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-07-19;1,40;1,40;1,40;1,40;0;0
2019-07-18;1,40;1,40;1,40;1,40;0;0
2019-07-17;1,40;1,40;1,40;1,40;0;0
2019-07-16;1,40;1,40;1,40;1,40;0;0
2019-07-15;1,40;1,40;1,40;1,40;0;0
2019-07-12;1,40;1,40;1,40;1,40;0;0
2019-07-11;1,40;1,40;1,40;1,40;0;0
2019-07-10;1,40;1,40;1,40;1,40;0;0
2019-07-09;1,40;1,40;1,40;1,40;0;0
2019-07-08;1,30;1,50;1,30;1,50;99;149
2019-07-05;1,30;1,30;1,30;1,30;0;0
2019-07-04;1,25;1,25;1,25;1,25;0;0
2019-07-03;1,30;1,30;1,30;1,30;0;0
2019-07-02;1,30;1,30;1,30;1,30;0;0
2019-07-01;1,30;1,30;1,30;1,30;0;0
2019-06-28;1,35;1,35;1,35;1,35;0;0
2019-06-27;1,35;1,35;1,35;1,35;0;0
2019-06-26;1,35;1,35;1,35;1,35;0;0
2019-06-25;1,35;1,35;1,35;1,35;0;0
2019-06-24;1,35;1,35;1,35;1,35;7;9
2019-06-21;1,35;1,35;1,35;1,35;0;0
2019-06-20;1,30;1,30;1,30;1,30;0;0
2019-06-19;1,30;1,30;1,30;1,30;0;0
2019-06-18;1,30;1,30;1,30;1,30;0;0
2019-06-17;1,30;1,30;1,30;1,30;0;0
2019-06-14;1,20;1,35;1,20;1,35;1;1
2019-06-13;1,35;1,35;1,35;1,35;0;0
2019-06-12;1,45;1,45;1,45;1,45;0;0
2019-06-11;1,45;1,45;1,45;1,45;0;0
2019-06-07;1,45;1,45;1,45;1,45;0;0
2019-06-06;1,40;1,40;1,40;1,40;0;0
2019-06-05;1,40;1,40;1,40;1,40;0;0
2019-06-04;1,40;1,40;1,40;1,40;0;0
2019-06-03;1,40;1,40;1,40;1,40;0;0
2019-05-31;1,40;1,40;1,40;1,40;0;0
2019-05-30;1,40;1,40;1,40;1,40;0;0
2019-05-29;1,40;1,40;1,40;1,40;0;0
2019-05-28;1,40;1,40;1,40;1,40;0;0
2019-05-27;1,50;1,50;1,50;1,50;0;0
2019-05-24;1,50;1,50;1,50;1,50;0;0
2019-05-23;1,50;1,50;1,50;1,50;0;0
2019-05-22;1,40;1,60;1,40;1,60;2;3
2019-05-21;1,40;1,40;1,40;1,40;0;0
2019-05-20;1,40;1,40;1,40;1,40;0;0
2019-05-17;1,40;1,40;1,40;1,40;0;0
2019-05-16;1,40;1,40;1,40;1,40;0;0
2019-05-15;1,40;1,40;1,40;1,40;0;0
2019-05-14;1,40;1,40;1,40;1,40;0;0
2019-05-13;1,40;1,40;1,40;1,40;0;0
2019-05-10;1,40;1,40;1,40;1,40;0;0
2019-05-09;1,40;1,40;1,40;1,40;0;0
2019-05-08;1,40;1,40;1,40;1,40;0;0
2019-05-07;1,40;1,40;1,40;1,40;0;0
2019-05-06;1,40;1,40;1,40;1,40;0;0
2019-05-03;1,55;1,55;1,55;1,55;0;0
2019-05-02;1,55;1,55;1,55;1,55;0;0
2019-04-30;1,55;1,55;1,55;1,55;0;0
2019-04-29;1,55;1,55;1,55;1,55;0;0
2019-04-26;1,35;1,35;1,35;1,35;0;0
2019-04-25;1,35;1,35;1,35;1,35;0;0
2019-04-24;1,35;1,35;1,35;1,35;0;0
2019-04-23;1,35;1,35;1,35;1,35;0;0
2019-04-18;1,35;1,35;1,35;1,35;0;0
2019-04-17;1,35;1,35;1,35;1,35;0;0
2019-04-16;1,35;1,35;1,35;1,35;0;0
2019-04-15;1,35;1,35;1,35;1,35;0;0
2019-04-12;1,35;1,35;1,35;1,35;0;0
2019-04-11;1,30;1,30;1,30;1,30;0;0
2019-04-10;1,30;1,30;1,30;1,30;0;0
2019-04-09;1,30;1,30;1,30;1,30;0;0
2019-04-08;1,35;1,35;1,35;1,35;0;0
2019-04-05;1,35;1,35;1,35;1,35;0;0
2019-04-04;1,35;1,35;1,35;1,35;0;0
2019-04-03;1,35;1,35;1,35;1,35;0;0
2019-04-02;1,35;1,35;1,35;1,35;0;0
2019-04-01;1,35;1,35;1,35;1,35;0;0
2019-03-29;1,35;1,35;1,35;1,35;0;0
2019-03-28;1,35;1,35;1,35;1,35;0;0
2019-03-27;1,35;1,35;1,35;1,35;0;0
2019-03-26;1,35;1,35;1,35;1,35;0;0
2019-03-25;1,35;1,35;1,35;1,35;0;0
2019-03-21;1,40;1,40;1,40;1,40;0;0
2019-03-20;1,40;1,40;1,40;1,40;0;0
2019-03-19;1,40;1,40;1,40;1,40;9;13
2019-03-18;1,40;1,40;1,40;1,40;0;0
