Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-05-03;2,03;2,23;2,01;2,23;21.247;43.532
2019-05-02;2,03;2,04;1,98;2,03;26.235;53.240
2019-04-30;2,00;2,04;2,00;2,03;4.028;8.136
2019-04-29;1,88;1,965;1,88;1,895;2.020;3.898
2019-04-26;1,88;2,00;1,88;2,00;3.800;7.343
2019-04-25;1,88;1,88;1,85;1,85;775;1.442
2019-04-24;1,89;1,925;1,89;1,89;4.250;8.099
2019-04-23;1,87;1,885;1,87;1,885;160;300
2019-04-18;1,865;1,865;1,865;1,865;17;32
2019-04-17;1,72;1,825;1,72;1,755;21.600;38.318
2019-04-16;1,75;1,80;1,73;1,73;10.000;17.834
2019-04-15;1,895;1,895;1,75;1,835;13.075;23.109
2019-04-11;1,755;1,755;1,75;1,75;1.790;3.140
2019-04-10;1,685;1,735;1,685;1,735;750;1.296
2019-04-08;1,685;1,785;1,68;1,785;9.800;16.553
2019-04-05;1,715;1,715;1,685;1,685;3.000;5.127
2019-04-04;1,785;1,785;1,685;1,685;430;765
2019-04-03;1,67;1,785;1,67;1,785;2.897;4.892
2019-04-02;1,64;1,68;1,625;1,625;2.637;4.343
2019-04-01;1,62;1,64;1,62;1,64;1.825;2.987
2019-03-29;1,625;1,69;1,625;1,69;2.000;3.315
2019-03-28;1,70;1,70;1,65;1,65;1.050;1.766
2019-03-27;1,70;1,705;1,70;1,705;1.850;3.152
2019-03-26;1,64;1,645;1,605;1,64;4.248;6.889
2019-03-25;1,67;1,67;1,67;1,67;1.320;2.204
2019-03-21;1,64;1,64;1,64;1,64;300;492
2019-03-20;1,675;1,675;1,675;1,675;1.500;2.513
2019-03-19;1,655;1,655;1,655;1,655;250;414
2019-03-18;1,605;1,605;1,605;1,605;50;80
2019-03-15;1,655;1,685;1,60;1,685;4.724;7.775
2019-03-14;1,745;1,745;1,635;1,655;6.063;10.080
2019-03-13;1,685;1,685;1,655;1,655;840;1.395
2019-03-12;1,655;1,655;1,655;1,655;825;1.365
2019-03-11;1,67;1,675;1,655;1,675;3.200;5.343
2019-03-08;1,655;1,655;1,655;1,655;1.000;1.655
2019-03-07;1,655;1,655;1,655;1,655;3.416;5.653
2019-03-06;1,73;1,73;1,625;1,675;1.983;3.298
2019-03-05;1,675;1,68;1,63;1,68;2.327;3.850
2019-03-04;1,71;1,71;1,71;1,71;1.425;2.437
2019-03-01;1,66;1,715;1,66;1,715;1.225;2.073
2019-02-28;1,61;1,685;1,61;1,685;502;846
2019-02-27;1,66;1,76;1,61;1,61;504;837
2019-02-26;1,745;1,775;1,705;1,775;2.147;3.739
2019-02-25;1,745;1,745;1,66;1,66;1.682;2.889
2019-02-22;1,67;1,785;1,67;1,785;2.000;3.398
2019-02-21;1,765;1,765;1,67;1,67;301;531
2019-02-20;1,75;1,76;1,735;1,76;4.079;7.128
2019-02-19;1,825;1,825;1,78;1,78;3.643;6.545
2019-02-18;1,785;1,825;1,785;1,785;1.162;2.119
2019-02-15;1,91;1,91;1,80;1,80;630;1.189
2019-02-14;1,76;2,09;1,76;1,96;8.999;17.662
2019-02-13;1,675;1,87;1,67;1,67;3.548;6.096
2019-02-12;1,655;1,795;1,655;1,795;501;864
2019-02-11;1,775;1,775;1,625;1,70;5.716;9.347
2019-02-08;1,63;1,705;1,63;1,70;2.290;3.833
2019-02-07;1,64;1,655;1,60;1,63;5.398;8.866
2019-02-06;1,675;1,795;1,585;1,695;6.327;10.592
2019-02-05;1,655;1,795;1,655;1,795;1.664;2.865
2019-02-04;1,77;1,79;1,685;1,685;2.418;4.176
2019-02-01;1,77;1,77;1,75;1,75;208;368
2019-01-31;1,84;1,84;1,84;1,84;500;920
2019-01-30;1,845;1,845;1,79;1,79;1.200;2.165
2019-01-29;1,83;1,83;1,73;1,73;1.462;2.622
2019-01-28;1,78;1,78;1,78;1,78;555;988
2019-01-25;1,78;1,815;1,725;1,725;1.758;3.123
2019-01-24;1,755;1,755;1,755;1,755;8;14
2019-01-23;1,68;1,68;1,68;1,68;19;32
2019-01-22;1,805;1,85;1,805;1,85;3.250;5.911
2019-01-21;1,86;1,86;1,86;1,86;500;930
2019-01-18;1,80;1,835;1,75;1,835;6.828;12.280
2019-01-17;1,86;1,905;1,86;1,905;2.999;5.635
2019-01-16;1,855;1,855;1,855;1,855;61;113
2019-01-14;1,625;1,705;1,625;1,705;500;829
2019-01-11;1,675;1,675;1,675;1,675;400;670
2019-01-09;1,775;1,775;1,715;1,715;762;1.343
2019-01-08;1,685;1,685;1,685;1,685;600;1.011
2019-01-07;1,76;1,76;1,76;1,76;500;880
2019-01-04;1,67;1,73;1,67;1,73;1.100;1.897
2019-01-02;1,625;1,71;1,625;1,69;2.505;4.194
2018-12-28;1,63;1,63;1,60;1,60;3.190;5.128
2018-12-27;1,60;1,685;1,55;1,615;17.146;27.761
2018-12-21;1,66;1,695;1,50;1,63;16.331;25.638
2018-12-20;1,665;1,695;1,64;1,685;15.000;24.843
2018-12-19;1,73;1,785;1,73;1,785;1.850;3.223
2018-12-18;1,75;1,775;1,62;1,775;7.979;13.595
2018-12-17;1,91;1,91;1,66;1,755;6.850;12.160
2018-12-14;1,855;1,895;1,83;1,83;3.520;6.523
2018-12-13;1,835;1,895;1,825;1,855;2.160;3.980
2018-12-12;1,90;1,97;1,82;1,82;2.609;4.997
2018-12-11;1,89;1,895;1,85;1,85;3.718;6.983
2018-12-10;1,94;1,985;1,90;1,985;1.765;3.370
2018-12-07;1,915;1,95;1,905;1,905;4.046;7.738
2018-12-06;1,915;1,995;1,915;1,93;370;719
2018-12-05;1,90;1,90;1,90;1,90;300;570
2018-12-04;1,93;1,93;1,88;1,92;3.050;5.854
2018-12-03;2,00;2,00;1,995;1,995;1.579;3.155
2018-11-30;1,905;2,00;1,90;1,99;8.730;16.983
2018-11-29;1,905;1,905;1,905;1,905;2.751;5.241
2018-11-28;1,985;1,985;1,985;1,985;200;397
2018-11-27;1,875;1,985;1,875;1,985;660;1.244
2018-11-26;1,95;1,95;1,90;1,90;810;1.560
2018-11-23;1,96;1,96;1,96;1,96;250;490
2018-11-22;1,985;1,985;1,955;1,955;1.700;3.350
2018-11-21;1,885;1,91;1,885;1,91;1.012;1.920
2018-11-20;1,905;1,96;1,86;1,86;2.715;5.243
2018-11-19;1,92;1,995;1,91;1,93;10.300;19.963
2018-11-16;1,995;1,995;1,975;1,975;3.100;6.163
2018-11-15;2,04;2,04;1,98;1,995;3.346;6.697
2018-11-14;2,12;2,12;1,955;1,99;1.935;3.808
2018-11-13;2,03;2,04;2,03;2,04;5.000;10.151
2018-11-12;2,01;2,01;1,99;1,99;2.035;4.080
2018-11-09;2,07;2,07;1,975;2,02;4.100;8.242
2018-11-08;2,01;2,01;1,945;1,945;430;862
2018-11-07;1,995;2,00;1,985;1,985;2.300;4.594
2018-11-06;1,99;1,99;1,99;1,99;150;299
2018-11-05;2,12;2,12;1,905;1,905;1.550;3.138
2018-11-02;2,10;2,10;2,10;2,10;310;651
2018-11-01;2,07;2,10;2,07;2,10;1.050;2.190
2018-10-31;2,06;2,06;2,06;2,06;130;268
2018-10-30;2,13;2,13;2,09;2,09;700;1.471
2018-10-29;2,04;2,05;2,04;2,05;606;1.241
2018-10-26;2,11;2,11;2,08;2,09;2.700;5.657
2018-10-25;2,10;2,10;2,10;2,10;550;1.155
2018-10-24;2,10;2,10;2,08;2,08;1.783;3.739
2018-10-23;2,12;2,12;2,12;2,12;1.011;2.143
2018-10-22;2,12;2,12;2,11;2,11;1.125;2.375
2018-10-19;2,21;2,21;2,21;2,21;100;221
2018-10-17;2,19;2,21;2,19;2,21;700;1.543
2018-10-16;2,23;2,23;2,23;2,23;1.210;2.698
2018-10-15;2,19;2,23;2,15;2,23;3.144;6.897
2018-10-12;2,27;2,27;2,27;2,27;100;227
2018-10-11;2,25;2,26;2,23;2,23;1.470;3.304
2018-10-10;2,22;2,22;2,22;2,22;1.000;2.220
2018-10-09;2,25;2,29;2,24;2,29;3.233;7.338
2018-10-08;2,22;2,27;2,22;2,27;600;1.352
2018-10-05;2,39;2,39;2,24;2,28;8.000;18.380
2018-10-04;2,29;2,29;2,26;2,26;1.050;2.375
2018-10-03;2,40;2,46;2,28;2,28;2.369;5.558
2018-10-02;2,28;2,28;2,28;2,28;100;228
2018-10-01;2,25;2,25;2,25;2,25;1.500;3.375
2018-09-28;2,29;2,29;2,29;2,29;500;1.145
2018-09-27;2,29;2,39;2,29;2,34;2.145;5.087
2018-09-26;2,31;2,31;2,28;2,28;2.725;6.239
2018-09-25;2,26;2,26;2,26;2,26;600;1.356
2018-09-24;2,26;2,26;2,26;2,26;167;377
2018-09-21;2,34;2,35;2,26;2,26;4.135;9.563
2018-09-20;2,25;2,34;2,24;2,24;6.498;14.801
2018-09-19;2,05;2,14;2,05;2,14;3.150;6.527
2018-09-18;2,05;2,13;2,05;2,13;570;1.206
2018-09-17;2,01;2,01;1,98;1,98;543;1.088
2018-09-14;2,04;2,04;1,985;2,00;1.331;2.654
2018-09-13;2,01;2,02;1,97;1,985;4.390;8.841
2018-09-12;2,12;2,12;2,12;2,12;1;2
2018-09-10;2,04;2,04;2,02;2,02;625;1.265
2018-09-07;1,995;2,00;1,995;2,00;2.010;4.015
2018-09-06;1,99;2,00;1,99;2,00;700;1.395
2018-09-05;1,945;2,01;1,945;2,01;4.478;8.921
2018-09-04;1,925;1,995;1,855;1,945;5.995;11.486
2018-09-03;1,93;1,93;1,93;1,93;20;39
2018-08-31;2,00;2,00;2,00;2,00;2.525;5.050
2018-08-30;2,00;2,01;2,00;2,01;2.800;5.603
2018-08-29;2,01;2,04;2,01;2,04;501;1.022
2018-08-28;2,00;2,02;1,985;1,99;9.400;18.763
2018-08-27;2,00;2,01;1,995;1,995;8.600;17.176
2018-08-24;2,01;2,01;2,01;2,01;480;965
2018-08-23;2,01;2,01;2,01;2,01;400;804
2018-08-21;2,01;2,01;2,01;2,01;399;802
2018-08-20;2,02;2,04;2,00;2,04;4.033;8.156
2018-08-17;2,02;2,03;2,00;2,00;6.982;14.071
2018-08-16;2,03;2,03;2,00;2,00;1.515;3.039
2018-08-15;2,00;2,04;2,00;2,04;1.700;3.404
2018-08-14;2,04;2,04;2,01;2,01;3.050;6.146
2018-08-13;2,00;2,09;2,00;2,00;643;1.297
2018-08-10;2,13;2,13;2,02;2,02;1.870;3.807
2018-08-09;2,00;2,09;2,00;2,06;2.950;6.065
2018-08-08;2,11;2,15;2,00;2,05;6.227;12.823
2018-08-06;2,08;2,08;2,01;2,01;1.050;2.149
2018-08-03;2,07;2,11;2,07;2,11;662;1.377
2018-08-02;2,04;2,11;2,04;2,11;1.650;3.373
2018-08-01;2,10;2,10;2,08;2,08;206;431
2018-07-31;2,11;2,11;2,09;2,09;638;1.334
2018-07-27;2,07;2,07;1,95;1,95;6.683;13.637
2018-07-26;2,00;2,20;2,00;2,15;3.680;7.755
2018-07-25;1,945;2,03;1,945;2,03;1.240;2.497
2018-07-24;1,90;2,00;1,90;2,00;1.300;2.574
2018-07-23;2,03;2,08;2,01;2,01;4.900;10.046
2018-07-20;1,975;1,975;1,975;1,975;960;1.896
2018-07-19;1,955;1,955;1,945;1,945;1.600;3.118
2018-07-18;1,975;1,975;1,975;1,975;480;948
2018-07-17;1,91;1,97;1,865;1,91;2.960;5.619
2018-07-16;2,00;2,00;1,81;1,865;1.857;3.541
2018-07-13;2,11;2,11;1,90;1,945;6.890;13.270
2018-07-12;2,15;2,18;2,15;2,18;2.910;6.324
2018-07-11;2,04;2,15;2,04;2,13;660;1.382
2018-07-10;2,23;2,23;2,14;2,17;2.030;4.389
2018-07-09;2,21;2,25;2,19;2,25;1.450;3.240
2018-07-06;2,18;2,22;2,18;2,22;5.465;11.954
2018-07-05;1,95;2,22;1,925;2,22;12.345;25.543
2018-07-04;1,745;2,08;1,745;1,92;11.810;22.935
2018-07-03;1,695;1,725;1,69;1,725;2.000;3.403
2018-07-02;1,655;1,715;1,655;1,715;4.400;7.387
2018-06-29;1,855;1,855;1,72;1,72;10.256;18.054
2018-06-28;1,805;1,84;1,805;1,84;600;1.087
2018-06-27;1,92;1,92;1,81;1,895;11.070;20.703
2018-06-26;1,975;2,00;1,94;2,00;6.470;12.709
2018-06-25;1,975;1,975;1,965;1,965;855;1.681
2018-06-22;2,00;2,00;1,98;2,00;1.450;2.898
2018-06-21;1,98;2,00;1,98;2,00;2.500;4.954
2018-06-20;1,99;2,00;1,965;1,965;5.885;11.696
2018-06-19;2,12;2,12;1,995;2,02;6.805;13.687
2018-06-18;2,02;2,15;2,02;2,12;23.055;47.257
2018-06-15;2,13;2,13;2,00;2,01;14.612;29.304
2018-06-14;2,03;2,13;1,99;2,08;12.388;25.263
2018-06-13;2,06;2,11;2,02;2,05;18.229;37.286
2018-06-12;2,07;2,10;2,05;2,06;10.005;20.714
2018-06-11;2,09;2,12;2,06;2,12;2.649;5.498
2018-06-08;2,14;2,14;2,03;2,14;3.618;7.684
2018-06-07;2,10;2,17;2,04;2,04;9.041;18.797
2018-06-06;2,14;2,14;2,04;2,05;16.511;34.188
2018-06-05;2,22;2,23;2,07;2,22;9.315;19.993
2018-06-04;2,32;2,33;2,25;2,25;3.020;6.954
2018-06-01;2,26;2,26;2,24;2,25;5.690;12.819
2018-05-31;2,35;2,35;2,23;2,27;8.260;18.987
2018-05-30;2,38;2,39;2,25;2,39;24.600;57.374
2018-05-29;2,61;2,61;2,43;2,43;10.367;25.529
2018-05-28;2,52;2,52;2,42;2,51;11.824;29.498
2018-05-25;2,70;2,70;2,49;2,66;7.330;19.233
2018-05-24;2,71;2,71;2,71;2,71;132;358
2018-05-23;2,71;2,78;2,71;2,71;1.386;3.788
2018-05-22;2,71;2,80;2,71;2,80;4.092;11.244
2018-05-21;2,85;2,85;2,71;2,71;635;1.775
2018-05-18;2,63;2,77;2,63;2,74;12.972;35.603
2018-05-17;2,74;2,74;2,68;2,71;3.965;10.717
2018-05-16;2,84;2,85;2,65;2,69;5.828;16.544
2018-05-15;2,76;2,76;2,76;2,76;500;1.380
2018-05-14;2,72;2,82;2,72;2,82;5.280;14.736
2018-05-11;2,68;2,78;2,61;2,78;7.350;19.956
2018-05-10;2,53;2,62;2,53;2,59;5.248;13.606
2018-05-09;2,66;2,66;2,57;2,58;6.350;16.453
2018-05-08;2,58;2,66;2,56;2,66;7.930;20.628
2018-05-07;2,80;2,84;2,52;2,62;6.980;18.920
2018-05-04;2,82;2,82;2,69;2,76;5.900;16.125
2018-05-03;2,93;2,93;2,82;2,89;3.688;10.566
2018-05-02;2,87;2,90;2,87;2,90;1.574;4.564
2018-04-30;2,87;3,00;2,87;2,90;900;2.655
2018-04-26;2,96;2,96;2,94;2,94;1.352;3.997
2018-04-25;2,92;2,92;2,85;2,89;5.700;16.420
2018-04-24;2,87;2,99;2,87;2,99;1.590;4.592
2018-04-23;3,01;3,05;2,88;2,88;9.034;26.681
2018-04-20;2,91;2,91;2,91;2,91;100;291
2018-04-19;2,96;2,96;2,78;2,78;2.000;5.843
2018-04-18;3,00;3,00;2,97;2,97;1.048;3.122
2018-04-16;2,98;2,98;2,98;2,98;250;745
2018-04-13;2,97;2,97;2,97;2,97;150;446
2018-04-12;2,92;3,02;2,92;2,95;2.728;8.077
2018-04-11;3,02;3,02;2,91;2,91;3.400;10.137
