Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2012-11-29;0,001;0,001;0,001;0,001;;
2012-11-28;0,001;0,001;0,001;0,001;;
2012-11-27;0,001;0,001;0,001;0,001;;
2012-11-26;0,001;0,001;0,001;0,001;;
2012-11-25;0,001;0,001;0,001;0,001;;
2012-11-24;0,001;0,001;0,001;0,001;;
2012-11-23;0,001;0,001;0,001;0,001;;
2012-11-22;0,001;0,001;0,001;0,001;;
2012-11-21;0,001;0,001;0,001;0,001;;
2012-11-20;0,001;0,001;0,001;0,001;;
2012-11-19;0,001;0,001;0,001;0,001;;
2012-11-18;0,001;0,001;0,001;0,001;;
2012-11-17;0,001;0,001;0,001;0,001;;
2012-11-16;0,001;0,001;0,001;0,001;;
2012-11-15;0,001;0,001;0,001;0,001;;
2012-11-14;0,001;0,001;0,001;0,001;;
2012-11-13;0,001;0,001;0,001;0,001;;
2012-11-12;0,001;0,001;0,001;0,001;;
2012-11-11;0,001;0,001;0,001;0,001;;
2012-11-10;0,001;0,001;0,001;0,001;;
2012-11-09;0,001;0,001;0,001;0,001;;
2012-11-08;0,001;0,001;0,001;0,001;;
2012-11-07;0,001;0,001;0,001;0,001;;
2012-11-06;0,001;0,001;0,001;0,001;;
2012-11-05;0,001;0,001;0,001;0,001;;
2012-11-04;0,001;0,001;0,001;0,001;;
2012-11-03;0,001;0,001;0,001;0,001;;
2012-11-02;0,001;0,001;0,001;0,001;;
2012-11-01;0,001;0,001;0,001;0,001;;
2012-10-31;0,001;0,001;0,001;0,001;;
2012-10-30;0,001;0,001;0,001;0,001;;
2012-10-29;0,001;0,001;0,001;0,001;;
2012-10-28;0,001;0,001;0,001;0,001;;
2012-10-27;0,001;0,001;0,001;0,001;;
2012-10-26;0,001;0,001;0,001;0,001;;
2012-10-25;0,001;0,001;0,001;0,001;;
2012-10-24;0,001;0,001;0,001;0,001;;
2012-10-23;0,001;0,001;0,001;0,001;;
2012-10-22;0,001;0,001;0,001;0,001;;
2012-10-21;0,001;0,001;0,001;0,001;;
2012-10-20;0,001;0,001;0,001;0,001;;
2012-10-19;0,001;0,001;0,001;0,001;;
2012-10-18;0,001;0,001;0,001;0,001;;
2012-10-17;0,001;0,001;0,001;0,001;;
2012-10-16;0,001;0,001;0,001;0,001;;
2012-10-15;0,001;0,001;0,001;0,001;;
2012-10-14;0,001;0,001;0,001;0,001;;
2012-10-13;0,001;0,001;0,001;0,001;;
2012-10-12;0,001;0,001;0,001;0,001;;
2012-10-11;0,001;0,001;0,001;0,001;;
2012-10-10;0,001;0,001;0,001;0,001;;
2012-10-09;0,001;0,001;0,001;0,001;;
2012-10-08;0,001;0,001;0,001;0,001;;
2012-10-07;0,001;0,001;0,001;0,001;;
2012-10-06;0,001;0,001;0,001;0,001;;
2012-10-05;0,001;0,001;0,001;0,001;;
2012-10-04;0,001;0,001;0,001;0,001;;
2012-10-03;0,001;0,001;0,001;0,001;;
2012-10-02;0,001;0,001;0,001;0,001;;
2012-10-01;0,001;0,001;0,001;0,001;;
2012-09-30;0,001;0,001;0,001;0,001;;
2012-09-29;0,001;0,001;0,001;0,001;;
2012-09-28;0,001;0,001;0,001;0,001;;
2012-09-27;0,001;0,001;0,001;0,001;;
2012-09-26;0,001;0,001;0,001;0,001;;
2012-09-25;0,001;0,001;0,001;0,001;;
2012-09-24;0,001;0,001;0,001;0,001;;
2012-09-23;0,001;0,001;0,001;0,001;;
2012-09-22;0,001;0,001;0,001;0,001;;
2012-09-21;0,001;0,001;0,001;0,001;;
2012-09-20;0,001;0,001;0,001;0,001;;
2012-09-19;0,001;0,001;0,001;0,001;;
2012-09-18;0,001;0,001;0,001;0,001;;
2012-09-17;0,001;0,001;0,001;0,001;;
2012-09-16;0,001;0,001;0,001;0,001;;
2012-09-15;0,001;0,001;0,001;0,001;;
2012-09-14;0,001;0,001;0,001;0,001;;
2012-09-13;0,0025;0,0025;0,001;0,001;;
2012-09-12;0,0025;0,0025;0,0025;0,0025;;
2012-09-11;0,0025;0,0025;0,0025;0,0025;;
2012-09-10;0,0025;0,0025;0,0025;0,0025;;
2012-09-09;0,0025;0,0025;0,0025;0,0025;;
2012-09-08;0,0025;0,0025;0,0025;0,0025;;
2012-09-07;0,0025;0,0025;0,0025;0,0025;;
2012-09-06;0,0025;0,0025;0,0025;0,0025;;
2012-09-05;0,0025;0,0025;0,0025;0,0025;;
2012-09-04;0,0025;0,0025;0,0025;0,0025;;
2012-09-03;0,0025;0,0025;0,0025;0,0025;;
2012-09-02;0,0025;0,0025;0,0025;0,0025;;
2012-09-01;0,0025;0,0025;0,0025;0,0025;;
2012-08-31;0,0025;0,0025;0,0025;0,0025;;
2012-08-30;0,0025;0,0025;0,0025;0,0025;;
2012-08-29;0,01;0,01;0,002;0,0025;;
2012-08-28;0,012;0,012;0,008;0,01;;
2012-08-27;0,012;0,012;0,012;0,012;;
2012-08-26;0,012;0,012;0,012;0,012;;
2012-08-25;0,012;0,012;0,012;0,012;;
2012-08-24;0,012;0,012;0,012;0,012;;
2012-08-23;0,012;0,012;0,012;0,012;;
2012-08-22;0,012;0,012;0,012;0,012;;
2012-08-21;0,012;0,012;0,012;0,012;;
2012-08-20;0,012;0,012;0,012;0,012;;
2012-08-19;0,012;0,012;0,012;0,012;;
2012-08-18;0,012;0,012;0,012;0,012;;
2012-08-17;0,012;0,012;0,012;0,012;;
2012-08-16;0,012;0,012;0,012;0,012;;
2012-08-15;0,012;0,012;0,012;0,012;;
2012-08-14;0,012;0,012;0,012;0,012;;
2012-08-13;0,012;0,012;0,012;0,012;;
2012-08-12;0,012;0,012;0,012;0,012;;
2012-08-11;0,012;0,012;0,012;0,012;;
2012-08-10;0,012;0,012;0,012;0,012;;
2012-08-09;0,012;0,012;0,012;0,012;;
2012-08-08;0,012;0,012;0,012;0,012;;
2012-08-07;0,012;0,012;0,012;0,012;;
2012-08-06;0,012;0,012;0,012;0,012;;
2012-08-05;0,012;0,012;0,012;0,012;;
2012-08-04;0,012;0,012;0,012;0,012;;
2012-08-03;0,012;0,012;0,012;0,012;;
2012-08-02;0,012;0,012;0,012;0,012;;
2012-08-01;0,012;0,012;0,012;0,012;;
2012-07-31;0,0095;0,015;0,0095;0,012;;
2012-07-30;0,0095;0,0095;0,0095;0,0095;;
2012-07-29;0,0095;0,0095;0,0095;0,0095;;
2012-07-28;0,0095;0,0095;0,0095;0,0095;;
2012-07-27;0,0095;0,0095;0,0095;0,0095;;
2012-07-26;0,0095;0,0095;0,0095;0,0095;;
2012-07-25;0,0095;0,0095;0,0095;0,0095;;
2012-07-24;0,0095;0,0095;0,0095;0,0095;;
2012-07-23;0,0095;0,0095;0,0095;0,0095;;
2012-07-22;0,0095;0,0095;0,0095;0,0095;;
2012-07-21;0,0095;0,0095;0,0095;0,0095;;
2012-07-20;0,0095;0,0095;0,0095;0,0095;;
2012-07-19;0,0095;0,0095;0,0095;0,0095;;
2012-07-18;0,0095;0,0095;0,0095;0,0095;;
2012-07-17;0,0095;0,0095;0,0095;0,0095;;
2012-07-16;0,0095;0,0095;0,0095;0,0095;;
2012-07-15;0,0095;0,0095;0,0095;0,0095;;
2012-07-14;0,0095;0,0095;0,0095;0,0095;;
2012-07-13;0,0095;0,0095;0,0095;0,0095;;
